index,ref,polymer,contact_angle,poly_weight_kg/mol,supporter,mark,thickness_um,mmms,mmms_size_nm,poresize_nm,loading_wt%,mixture,composition_water_wt,temperature,feedpressure_bar,permeatepressure_mbar,total_flux_kgm2h,separationfactor_w_e,psi,truth,newpsi,Solubility_Parameter_solvent,Solubility_Parameter_polymer
1,"1IPA_cs_JMS-2010-Varghese-Synthesis, characterization and pervaporation performance of chitosan-g-polyaniline membranes for the dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,5,30,,13.3,0.0378,606.617647,22.89234706,,0.105194189,23.5,42.3
1,"1IPA_cs_JMS-2010-Varghese-Synthesis, characterization and pervaporation performance of chitosan-g-polyaniline membranes for the dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,10,30,,13.3,0.0523,257.352941,13.40725881,,0.126070674,23.5,42.3
1,"1IPA_cs_JMS-2010-Varghese-Synthesis, characterization and pervaporation performance of chitosan-g-polyaniline membranes for the dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,15,30,,13.3,0.0894,122.54902,10.86648239,,0.1866949,23.5,42.3
1,"1IPA_cs_JMS-2010-Varghese-Synthesis, characterization and pervaporation performance of chitosan-g-polyaniline membranes for the dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,20,30,,13.3,0.17,73.529412,12.33000004,,0.317298386,23.5,42.3
1,"1IPA_cs_JMS-2010-Varghese-Synthesis, characterization and pervaporation performance of chitosan-g-polyaniline membranes for the dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,25,30,,13.3,0.1984,49.019608,9.527090227,,0.335369375,23.5,42.3
6,6nutanol_pdms_High performance and thermally stable PDMS pervaporation membranes prepared using a phenyl-containing tri-functional crosslinker for n-butanol recovery,pdms,104,,,,12,,,,,water/butanol,99,40,,3,0.4364,0.028205,-0.424091338,,-0.676277688,23.1,15.8
6,6nutanol_pdms_High performance and thermally stable PDMS pervaporation membranes prepared using a phenyl-containing tri-functional crosslinker for n-butanol recovery,pdms,104,,,,12,,,,,water/butanol,95,40,,3,0.9849,0.028701,-0.956632385,,-1.518817216,23.1,15.8
6,6nutanol_pdms_High performance and thermally stable PDMS pervaporation membranes prepared using a phenyl-containing tri-functional crosslinker for n-butanol recovery,pdms,104,,,,12,,,,,water/butanol,99,80,,3,1.1455,0.028871,-1.11242827,,-1.763540977,23.1,15.8
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,60,30,,6.7,1.2722,0.472727187,1.418992797,,0.413960421,23.5,20.3
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,70,30,,6.7,0.769,0.371428529,1.301384852,,0.330765926,23.5,20.3
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,80,30,,6.7,0.5411,0.305882331,1.227880894,,0.278366519,23.5,20.3
